,iso_code,region_group,income_group,country,survey,year,category,sex,location,wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
27324,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Speaks Language At Home & Wealth,,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328000009,120.0,,,,,0.113399997,46.0,,,,,,,,
27325,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Speaks Language At Home & Wealth,,,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516200006,196.0,,,,,0.213499993,69.0,,,,,,,,
27484,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Speaks Language At Home,Female,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.420899987,220.0,,,,,0.137700006,72.0,,,,,,,,
27485,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Speaks Language At Home,Female,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398799986,36.0,,,,,,,,,,,,,,
27486,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Speaks Language At Home,Female,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193700001,51.0,,,,,,,,,,,,,,
27487,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Speaks Language At Home,Male,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329100013,182.0,,,,,0.129800007,66.0,,,,,,,,
27488,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Speaks Language At Home,Male,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171599999,56.0,,,,,,,,,,,,,,
27831,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Wealth,Female,Urban,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335299999,35.0,,,,,,,,,,,,,,
27832,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Wealth,Female,Urban,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323900014,34.0,,,,,,,,,,,,,,
27833,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Wealth,Female,Urban,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415300012,56.0,,,,,,,,,,,,,,
